id,name_ja,name_ko,name_en,name_zh_hans,name_zh_hant,grade_ja,grade_ko,grade_en,grade_zh_hans,grade_zh_hant,app_name_ja,app_name_ko,app_name_en,app_name_zh_hans,app_name_zh_hant,attribute_ja,attribute_ko,attribute_en,attribute_zh_hans,attribute_zh_hant,special_moves_ja,special_moves_ko,special_moves_en,special_moves_zh_hans,special_moves_zh_hant,profile_ja,profile_ko,profile_en,profile_zh_hans,profile_zh_hant,illustration_listed,icon_listed,illustration_url,icon_url_listed,related_ids_ja_snapshot,related_dynamic_snapshot,url_ja,url_ko,url_en,url_zh_hans,url_zh_hant,anomaly_flags
1,ガッチモン,서치몬,Gatchmon,盖奇兽,蓋奇獸,並,스탠다드,Standard,普,普,検索,검색,Search,搜索,搜索,ソーシャル,소셜,Social,社交,社交,ディープサーチ | ガッチクロー,디프 서치 | 서치 클로,Deep Search | Matching Claw,深度搜索 | 盖奇爪,深度搜索 | 蓋奇銳爪,好奇心旺盛で、調べることが大好きなアプモン。生活の知識から相手の弱点まで、ネットの海を探って何でも検索してくれる。,호기심이 왕성하고 조사하는 것을 아주 좋아하는 어플몬. 생활 지식부터 상대의 약점까지 네트워크 바다를 탐색해 무엇이든지 검색해 준다.,"A deeply curious Appmon that loves to investigate. Whether you're looking for a life hack or someone's Achilles' heel, ask it a question and it will dredge up the answer from the vast ocean of information on the net.",好奇心旺盛，非常喜欢调查的应用兽。从生活小知识到对手的弱点，他能在网络之海中为你搜到任何信息。,好奇心旺盛，最喜歡調查的APP獸。從生活知識到對手的弱點，可在網絡之海中搜索出任何資訊。,True,True,https://digimon.net/cimages/appmon/img_chara_001.jpg,https://digimon.net/cimages/appmon/img_icon_001.png,76 | 4 | 12,True,https://digimon.net/appmon/detail.php?id=1,https://digimon.net/appmon_ko/detail.php?id=1,https://digimon.net/appmon_en/detail.php?id=1,https://digimon.net/appmon_zh-CHS/detail.php?id=1,https://digimon.net/appmon_zh-CHT/detail.php?id=1,ko_profile_uses_eopeulmon_not_page_title_apeumon
2,コールモン,콜몬,Callmon,电话兽,電話獸,並,스탠다드,Standard,普,普,電話,전화,Phone,电话,電話,ソーシャル,소셜,Social,社交,社交,コネクトライン | ノイジーコーリング,커넥트 라인 | 노이지 콜링,Connection Line | Annoying Call,牵线搭桥 | 骚扰寻呼,連線攻擊 | 喧鬧呼叫,一度に何人もの相手と電話を繋げることができる､電話のプロフェッショナル。彼からの電話は、決して着信拒否ができない。,한 번에 여러 상대와 전화할 수 있는 전화 전문가다. 콜몬의 전화는 절대 수신을 거부할 수 없다.,A telecommunications expert that can connect any number of people on the phone at once. You'll find that it's impossible to block a call from this Appmon.,作为电话通信方面的专家，他能够同时与多人接通电话。且任何人都无法以任何方式拒接他的来电。,能同時接聽多人電話的電話專員。誰都不能拒接來自他的電話。,True,True,https://digimon.net/cimages/appmon/img_chara_002.jpg,https://digimon.net/cimages/appmon/img_icon_002.png,79 | 3 | 6,True,https://digimon.net/appmon/detail.php?id=2,https://digimon.net/appmon_ko/detail.php?id=2,https://digimon.net/appmon_en/detail.php?id=2,https://digimon.net/appmon_zh-CHS/detail.php?id=2,https://digimon.net/appmon_zh-CHT/detail.php?id=2,
3,メールモン,메일몬,Mailmon,邮件兽,郵件獸,並,스탠다드,Standard,普,普,メール,메일,Mail,电子邮件,郵件,ソーシャル,소셜,Social,社交,社交,メールダーツ | トラブルポスト,메일 다트 | 트러블 포스트,Mail Darts | Trouble Post,电邮飞镖 | 捣蛋邮件,郵件飛鏢 | 麻煩信件,ネットを駆け巡る、頼もしいメールの配達人。彼が投げるメールに乗れば、宛先に指定された場所まで一息に飛んでいくこともできる。,네트워크를 뛰어다니는 믿음직한 메일 배달부. 메일몬이 던지는 메일을 타면 보내는 곳으로 지정된 장소까지 단숨에 날아갈 수도 있다.,A mail carrier that makes its rounds on the net rain or shine. Hop on the mail it slings to arrive at the destination in an instant.,奔驰在网络中的电子邮件快递员，做事非常可靠。乘上他手中的邮件，用户便可以在瞬间被送至邮件的目标地址。,奔走於網路世界的可靠投遞員。如果乘坐他投下的郵件，可以一口氣飛到指定的收件位置。,True,True,https://digimon.net/cimages/appmon/img_chara_003.jpg,https://digimon.net/cimages/appmon/img_icon_003.png,79 | 6 | 2,True,https://digimon.net/appmon/detail.php?id=3,https://digimon.net/appmon_ko/detail.php?id=3,https://digimon.net/appmon_en/detail.php?id=3,https://digimon.net/appmon_zh-CHS/detail.php?id=3,https://digimon.net/appmon_zh-CHT/detail.php?id=3,
4,ツブモン,츠부몬,Tweetmon,发文兽,發文獸,並,스탠다드,Standard,普,普,つぶやき,트윗,Tweet,微博客,發文,ソーシャル,소셜,Social,社交,社交,ツイボム | イイネラッシュ,트위 봄 | 좋아요 러시,Social Bomb | Thumb Rush,发文炸弹 | 轰炸式连赞,發文炸彈 | 點讚突進,フォローした相手の情報をなんでも話してしまう、おしゃべりなアプモン。面白いと思ったことは拡散せずにはいられない。,팔로우한 상대의 정보를 뭐든지 얘기해 버리는 수다스러운 어플몬. 재밌다고 생각한 일은 퍼뜨려야 속이 시원하다.,A chatty Appmon that tells you more than you care to know about the people you follow. It can't help itself from spreading whatever it finds amusing far and wide.,嘴特别碎的应用兽，经常一不小心就将关注对象的所有信息都给透露出去。总是忍不住在网络中散播那些他觉得特别有意思的事情。,會說出關注中的對手的所有資訊，是很健談的APP獸。發現覺得有趣的事情時一定會到處散播。,True,True,https://digimon.net/cimages/appmon/img_chara_004.jpg,https://digimon.net/cimages/appmon/img_icon_004.png,1 | 12 | 45,True,https://digimon.net/appmon/detail.php?id=4,https://digimon.net/appmon_ko/detail.php?id=4,https://digimon.net/appmon_en/detail.php?id=4,https://digimon.net/appmon_zh-CHS/detail.php?id=4,https://digimon.net/appmon_zh-CHT/detail.php?id=4,ko_profile_uses_eopeulmon_not_page_title_apeumon
5,ゲンゴーモン,언어몬,Gengomon,语言兽,語言獸,並,스탠다드,Standard,普,普,翻訳,번역,Translation,翻译,翻譯,ソーシャル,소셜,Social,社交,社交,バベルシャベル | バベルダマル,바벨 샤베루 | 바벨 다마루,Babble Gabble | Babble Stop,巴别演讲 | 巴别沉默,巴別塔語言 | 沉默巴別塔,世界中の言語を知り尽くす、凄腕の翻訳家。相手の喋る言葉を強制的に翻訳して、会話を妨害する能力を持っている。,전 세계 언어에 통달한 뛰어난 번역가. 상대가 말하는 언어를 강제로 번역해서 대화를 방해하는 능력을 지녔다.,A skilled translator that speaks all the languages of the world. Talk to it and it will constantly interrupt you to translate what you say.,通晓世间一切语言的顶尖翻译家，可以通过强制将对手的讲话翻译成别的语言来达到阻碍沟通的目的。,熟知全世界的語言，是能力出眾的翻譯家。可強制翻譯對手所說的語言，擁有妨礙對話的能力。,True,True,https://digimon.net/cimages/appmon/img_chara_005.jpg,https://digimon.net/cimages/appmon/img_icon_005.png,30 | 31 | 85,True,https://digimon.net/appmon/detail.php?id=5,https://digimon.net/appmon_ko/detail.php?id=5,https://digimon.net/appmon_en/detail.php?id=5,https://digimon.net/appmon_zh-CHS/detail.php?id=5,https://digimon.net/appmon_zh-CHT/detail.php?id=5,
6,アドモン,어드몬,Addmon,通讯录兽,通訊錄獸,並,스탠다드,Standard,普,普,アドレス帳,주소록,Address Book,通讯录,通訊錄,ソーシャル,소셜,Social,社交,社交,アドリサーチ | アドデリート,어드 리서치 | 어드 딜리트,Search Address | Delete Address,搜索联系人 | 删除联系人,通訊錄搜索 | 通訊錄刪除,顔のアドレス帳に、これまで出会った相手の住所や連絡先を記録しているアプモン。胸の鍵は機密情報の暗号化と解除に使用する。,얼굴의 주소록에 지금까지 만난 상대의 주소와 연락처를 기록하는 어플몬. 가슴에 있는 열쇠는 기밀 정보의 암호화와 해제에 사용한다.,An Appmon that records the addresses and contact information of all the people it has met so far in the address book that doubles as its head. It uses the key around its neck to encrypt and decrypt sensitive information.,这种应用兽会将认识过的人的住址和联系方式记录在面部的通讯录中，其胸前的锁眼一般用于对机密信息进行加解密。,臉部為通訊錄的APP獸，會將至今遇到的對手的住址和聯繫方式記錄在其中。使用胸前的鑰匙可將機密情報暗號化或解除。,True,True,https://digimon.net/cimages/appmon/img_chara_006.jpg,https://digimon.net/cimages/appmon/img_icon_006.png,3 | 79 | 2,True,https://digimon.net/appmon/detail.php?id=6,https://digimon.net/appmon_ko/detail.php?id=6,https://digimon.net/appmon_en/detail.php?id=6,https://digimon.net/appmon_zh-CHS/detail.php?id=6,https://digimon.net/appmon_zh-CHT/detail.php?id=6,ko_profile_uses_eopeulmon_not_page_title_apeumon
7,レビューモン,리뷰몬,Reviewmon,评论兽,評論獸,並,스탠다드,Standard,普,普,口コミ,리뷰,Review,点评,評論,ソーシャル,소셜,Social,社交,社交,ポストレビュー | 最悪の評価,포스트 리뷰 | 최악의 평가,Bold Review | Zero out of Ten,前瞻点评 | 扎心大差评,事後評定 | 最低評價,あらゆる物事を見極め、評価をしてくれる辛口レビュアー。彼がほめた商品や店は必ず大人気になると言われている。,모든 일을 주시하고 평가해 주는 독설가인 리뷰어. 리뷰몬이 칭찬한 상품과 가게는 반드시 큰 인기를 얻게 된다고 알려져 있다.,"A harsh reviewer that will critique anything in sight for you. The goods and services it recommends, however, enjoy a huge boom in business.",作为一位口无遮拦的评论员，评语兽能够对任何事物都作出十分精准的评价。据说，凡是被他点过赞的产品或店铺最后一定都会火上天。,透析一切並給予評價的毒舌評論家。據説被他表揚的商品或店家必定會人氣高漲。,True,True,https://digimon.net/cimages/appmon/img_chara_007.jpg,https://digimon.net/cimages/appmon/img_icon_007.png,18 | 10 | 80,True,https://digimon.net/appmon/detail.php?id=7,https://digimon.net/appmon_ko/detail.php?id=7,https://digimon.net/appmon_en/detail.php?id=7,https://digimon.net/appmon_zh-CHS/detail.php?id=7,https://digimon.net/appmon_zh-CHT/detail.php?id=7,
8,セットモン,세팅몬,Setmon,设置兽,設定獸,並,스탠다드,Standard,普,普,設定,설정,Setup,设置设定,設定,ソーシャル,소셜,Social,社交,社交,クイックセットアップ | ピーキーセッティング,퀵 셋업 | 피키 세팅,Quick Setup | Peaky Settings,快速设置 | 极限详细设置,快速設定 | 衰弱設定,扱いの難しい精密機器でも、すぐに使えるよう設定をしてくれるアプモン。彼の作るマニュアルは、初心者にも非常にわかりやすい。,다루기 어려운 정밀 기계도 바로 쓸 수 있도록 설정해 주는 어플몬. 세팅몬이 만드는 매뉴얼은 초보자도 아주 이해하기 쉽다.,"An Appmon that will quickly set up difficult-to-handle equipment for you. The instruction manuals it writes are easy to follow, even for total beginners.",这种应用兽擅长设置各种难以操作的精密仪器，让用户能够“一秒上手”。设置兽编写的使用手册，对初学者来说也是非常容易理解的。,即使是難以使用的精密機械，也能設定成立即使用的APP獸。他所製作的使用手冊對於新手來說也非常簡單易懂。,True,True,https://digimon.net/cimages/appmon/img_chara_008.jpg,https://digimon.net/cimages/appmon/img_icon_008.png,65 | 75 | 58,True,https://digimon.net/appmon/detail.php?id=8,https://digimon.net/appmon_ko/detail.php?id=8,https://digimon.net/appmon_en/detail.php?id=8,https://digimon.net/appmon_zh-CHS/detail.php?id=8,https://digimon.net/appmon_zh-CHT/detail.php?id=8,ko_profile_uses_eopeulmon_not_page_title_apeumon
9,メッセモン,메시몬,Messemon,信息兽,訊息獸,並,스탠다드,Standard,普,普,メッセージ,메시지,Message,短信息,訊息,ソーシャル,소셜,Social,社交,社交,メッセストリームアタック | コトダマレイン,메시 스트림 어택 | 고토다마 레인,Message Flood | Word Rain,短信风暴 | 言灵之雨,訊息奔流攻擊 | 言靈之雨,メッセージの受信・発信の能力を持つアプモン。三つの体を有するが、1つの思考回路を共有して活動している。,"메시지 수신, 발신 능력을 지닌 어플몬. 몸을 3개 지니고 있지만 1개의 사고 회로를 공유해 활동한다.","An Appmon with the ability to send and receive messages. Although it has three bodies, it thinks and moves as one.",拥有接受及发送短信能力的应用兽。该应用兽虽然拥有三个身体，但他们在活动时是共用同一个“大脑”的。,擁有收發訊息能力的APP獸。有三個身體，但只會共用一個腦迴路來進行思考。,True,True,https://digimon.net/cimages/appmon/img_chara_009.jpg,https://digimon.net/cimages/appmon/img_icon_009.png,3 | 79 | 2,True,https://digimon.net/appmon/detail.php?id=9,https://digimon.net/appmon_ko/detail.php?id=9,https://digimon.net/appmon_en/detail.php?id=9,https://digimon.net/appmon_zh-CHS/detail.php?id=9,https://digimon.net/appmon_zh-CHT/detail.php?id=9,ko_profile_uses_eopeulmon_not_page_title_apeumon
10,コソモン,속닥몬,Kosomon,嘀咕兽,傳聞獸,並,스탠다드,Standard,普,普,裏口コミ,비밀 후기,Gossip Review,匿名点评,小道消息,ソーシャル,소셜,Social,社交,社交,イドバタペーパー | コッソリワーク,이도바타 페이퍼 | 소곤소곤 워크,Chatter Paper | Stealth Work,嚼舌根问卷 | 暗中行事,閒話投書 | 黑箱操作,いつも誰かとコソコソしている、少しあやしいアプモン。「裏事情通」を自称しており、話しかけると秘密の情報を教えてくれる。,"항상 누군가와 소곤소곤 얘기하는 조금 수상한 어플몬. 자칭 「속사정 전문가」로, 말을 걸면 비밀 정보를 가르쳐준다.","A gossipy Appmon that is, as the kids say, kinda sus. It fancies itself an information broker and will spill secrets like so many beans.",总在跟人窃窃私语的应用兽，稍微有些形迹可疑。该应用兽自称“消息灵通人士”，只要与其交谈就能得到许多内幕讯息。,總是在跟人竊竊私語，有點可疑的APP獸。只要跟自稱「精通小道消息」的他搭話，就能得知秘密情報。,True,True,https://digimon.net/cimages/appmon/img_chara_010.jpg,https://digimon.net/cimages/appmon/img_icon_010.png,80 | 7 | 56,True,https://digimon.net/appmon/detail.php?id=10,https://digimon.net/appmon_ko/detail.php?id=10,https://digimon.net/appmon_en/detail.php?id=10,https://digimon.net/appmon_zh-CHS/detail.php?id=10,https://digimon.net/appmon_zh-CHT/detail.php?id=10,ko_profile_uses_eopeulmon_not_page_title_apeumon
